Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Moyenne_Anomalie,Emission_CO2,Année
0.18,0.22,0.24,0.26,.33,.27,.20,.18,.02,.03,.16,.03,0.225,0.90804372371,1977.0
0.06,0.1,0.19,0.17,.09,-.01,.04,-.13,.06,.03,.14,.08,0.13,0.93602695654,1978.0
0.08,-0.1,0.19,0.15,.04,.14,.04,.17,.25,.26,.28,.48,0.07999999999999999,0.96295922397,1979.0
0.3,0.39,0.3,0.3,.35,.20,.22,.18,.20,.13,.29,.21,0.3225,0.95882468217,1980.0
0.53,0.42,0.48,0.32,.25,.29,.32,.35,.15,.12,.23,.41,0.4375,0.93488458646,1981.0
0.05,0.16,0.03,0.15,.18,.06,.14,.04,.14,.13,.18,.42,0.0975,0.92857352706,1982.0
0.53,0.43,0.42,0.28,.34,.22,.18,.35,.37,.17,.30,.16,0.415,0.93414947548,1983.0
0.31,0.14,0.26,0.06,.32,.02,.19,.19,.21,.13,.07,-.04,0.1925,0.96287925146,1984.0
0.22,-0.04,0.17,0.12,.14,.15,.04,.17,.13,.11,.05,.14,0.1175,0.9967064751,1985.0
0.26,0.37,0.3,0.22,.21,.12,.11,.16,.03,.15,.10,.13,0.2875,1.00909833871,1986.0
0.32,0.43,0.18,0.24,.25,.34,.40,.25,.35,.32,.29,.46,0.2925,1.03373279898,1987.0
0.56,0.44,0.51,0.42,.44,.40,.33,.39,.37,.37,.12,.28,0.4825,1.07029006405,1988.0
0.12,0.3,0.36,0.29,.17,.16,.34,.33,.34,.29,.20,.37,0.2675,1.08314103246,1989.0
0.41,0.44,0.8,0.56,.45,.37,.46,.34,.23,.44,.46,.40,0.5525,1.10219922066,1990.0
0.42,0.49,0.35,0.51,.34,.53,.47,.39,.44,.29,.29,.32,0.44249999999999995,1.10812329603,1991.0
0.47,0.4,0.48,0.27,.31,.25,.08,.08,-.01,.06,.02,.21,0.405,1.07977435711,1992.0
0.34,0.37,0.36,0.27,.28,.23,.25,.11,.11,.23,.03,.18,0.33499999999999996,1.0844003087,1993.0
0.26,0.02,0.29,0.41,.28,.43,.30,.21,.32,.42,.44,.38,0.245,1.08454436041,1994.0
0.52,0.79,0.46,0.47,.27,.43,.45,.45,.33,.47,.44,.25,0.56,1.1032157565,1995.0
0.24,0.46,0.32,0.32,.28,.25,.36,.48,.24,.19,.38,.37,0.335,1.13286754875,1996.0
0.3,0.41,0.51,0.34,.34,.54,.33,.41,.52,.61,.64,.59,0.39,1.13488609441,1997.0
0.58,0.88,0.63,0.63,.68,.77,.66,.65,.42,.41,.43,.55,0.6799999999999999,1.12829869563,1998.0
