Country,RCP 2.6,RCP 4.5,RCP 6,RCP 8.5
Turkmenistan,1.42,2.58,3.18,5.17
Turks and Caicos Islands,0.84,1.63,1.94,3.18
Tuvalu,0.8,1.46,1.67,3
Uganda,1.05,2.05,2.46,4.31
Ukraine,1.59,2.93,3.66,5.36
United Arab Emirates,1.23,2.6,3.22,5.02
United Kingdom,1,1.65,2.01,3.21
United States,1.64,2.96,3.51,5.24
Uruguay,0.8,1.7,2.12,3.26
Uzbekistan,1.53,2.79,3.37,5.42
Vanuatu,0.65,1.37,1.71,2.83
Venezuela,1.21,2.35,2.7,4.81
Vietnam,1.03,2.01,2.4,3.84
Virgin Islands,0.86,1.56,1.89,3.03
Wallis and Futuna,0.72,1.36,1.55,2.78
West Bank and Gaza,1.21,2.2,2.68,4.51
Western Sahara,1.09,2.12,2.54,4.19
Yemen,1.13,2.44,2.97,4.85
Zambia,1.11,2.49,3.04,5.16
Zimbabwe,1.09,2.46,3.02,5.06
