,Country,Annual,DJF,MAM,JJA,SON
198,Togo,106.63,7.76,53.98,26.24,17.82
199,Thailand,105.93,2.45,32.21,43.89,26.92
200,Tajikistan,0.96,0.0,0.0,0.96,0.0
201,Tokelau,278.68,76.82,87.08,67.2,55.55
202,Turkmenistan,15.44,0.0,0.12,15.1,0.14
203,Timor Leste,9.22,6.49,2.78,0.0,0.59
204,Tonga,21.09,9.89,10.58,0.01,0.03
205,Trinidad and Tobago,94.9,0.53,4.37,45.12,46.91
206,Tunisia,24.58,0.0,0.13,22.21,1.89
207,Turkey,1.95,0.0,0.0,1.91,0.05
208,Tuvalu,216.33,65.69,85.07,43.94,33.92
209,"Tanzania, United Republic of",4.46,2.32,1.81,0.0,0.24
210,Uganda,0.08,0.0,0.08,0.0,0.0
211,Ukraine,0.16,0.0,0.0,0.16,0.0
212,Uruguay,4.67,4.01,0.4,0.0,0.13
213,United States,6.51,0.0,0.06,5.85,0.66
214,Uzbekistan,8.11,0.0,0.05,8.04,0.0
215,St. Vincent and the Grenadines,118.0,0.58,1.53,53.35,63.7
216,Venezuela,89.06,9.09,21.81,24.84,32.91
217,British Virgin Islands,75.4,0.0,0.03,28.05,39.3
218,Virgin Islands,75.4,0.0,0.03,28.05,39.3
219,Vietnam,74.25,0.96,24.63,31.82,22.38
220,Vanuatu,8.16,3.95,3.96,0.01,0.01
221,Wallis and Futuna,123.07,54.57,66.11,2.54,2.4
222,Samoa,140.81,62.46,70.21,4.66,6.03
223,Yemen,20.81,0.05,4.32,12.67,4.58
224,South Africa,0.6,0.42,0.03,0.0,0.08
225,Zambia,0.64,0.27,0.03,0.0,0.32
226,Zimbabwe,3.17,1.51,0.12,0.0,1.29
227,Aruba,184.31,20.52,26.44,66.38,68.91
228,Afghanistan,9.52,0.0,0.18,9.06,0.23
229,Angola,0.25,0.03,0.19,0.0,0.01
230,Anguilla,70.55,0.0,0.0,25.15,36.03
